Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26,SIGNAL_9,RSI_14,%K_14,%D_3,MIDDLE20,UPPER2,LOWER2
2017-06-01,2.31,2.31,2.28,2.31,2.085513,202900.0,,,,,,,,
2017-06-02,2.3,2.31,2.28,2.3,2.076484,139200.0,,,,,,,,
2017-06-05,2.3,2.33,2.3,2.31,2.085513,220500.0,,,,,,,,
2017-06-06,2.31,2.32,2.3,2.31,2.085513,436500.0,,,,,,,,
2017-06-07,2.32,2.36,2.3,2.33,2.103569,829900.0,,,,,,,,
2017-06-08,2.33,2.35,2.32,2.33,2.103569,578800.0,,,,,,,,
2017-06-09,2.33,2.34,2.32,2.33,2.103569,273100.0,,,,,,,,
2017-06-13,2.32,2.33,2.32,2.32,2.094541,364400.0,,,,,,,,
2017-06-14,2.32,2.35,2.3,2.34,2.112597,1556100.0,,,,,,,,
2017-06-15,2.35,2.36,2.34,2.36,2.130653,1446200.0,,,,,,,,
2017-06-16,2.37,2.37,2.35,2.36,2.130653,1007000.0,,,,,,,,
2017-06-19,2.36,2.37,2.32,2.32,2.094541,306100.0,,,,,,,,
2017-06-20,2.33,2.33,2.3,2.31,2.085513,178900.0,,,,,,,,
2017-06-21,2.3,2.31,2.29,2.3,2.076484,664400.0,,,40.2807,22.22222,,,,
2017-06-22,2.3,2.34,2.29,2.32,2.094541,231500.0,,,50.23619,44.44444,,,,
2017-06-23,2.32,2.34,2.31,2.33,2.103569,70000.0,,,54.33525,50.0,38.88889,,,
2017-06-28,2.33,2.33,2.31,2.32,2.094541,432600.0,,,49.90808,37.5,43.98148,,,
2017-06-29,2.32,2.33,2.31,2.32,2.094541,402800.0,,,49.90808,37.5,41.66667,,,
2017-06-30,2.32,2.33,2.32,2.33,2.103569,1078100.0,,,54.23289,50.0,41.66667,,,
2017-07-03,2.33,2.36,2.33,2.36,2.130653,579300.0,,,64.21471,87.5,58.33333,2.3255,2.3619,2.2891
2017-07-04,2.36,2.37,2.35,2.36,2.130653,1010700.0,,,64.21471,87.5,75.0,2.328,2.36672,2.28928
2017-07-05,2.35,2.36,2.33,2.35,2.121625,783500.0,,,59.22146,75.0,83.33333,2.3305,2.36804,2.29296
2017-07-06,2.35,2.36,2.34,2.34,2.112597,204500.0,,,54.64544,62.5,75.0,2.332,2.36848,2.29552
2017-07-07,2.33,2.34,2.33,2.34,2.112597,205800.0,,,54.64544,62.5,66.66667,2.3335,2.36861,2.29839
2017-07-10,2.33,2.34,2.32,2.32,2.094541,109200.0,,,46.33998,37.5,54.16667,2.333,2.3686,2.2974
2017-07-11,2.32,2.33,2.31,2.33,2.103569,266300.0,0.00473,0.00473,50.39929,50.0,50.0,2.333,2.3686,2.2974
2017-07-12,2.32,2.32,2.29,2.29,2.067456,244700.0,0.00086,0.00395,38.01221,0.0,29.16667,2.331,2.37147,2.29053
